"kd_jenis_prw","nm_perawatan"
"HARTA000002","Abdomen 3 Posisi"
"HARTA000003","Abdomen 3 Posisi"
"HARTA000004","Abdomen 3 Posisi"
"HARTA000005","Abdomen 3 Posisi"
"HARTA000006","Abdomen 3 Posisi"
"HLGRP000001","Abdomen 3 Posisi"
"HLGRP000002","Abdomen 3 Posisi"
"HLGRP000003","Abdomen 3 Posisi"
"HLGRP000004","Abdomen 3 Posisi"
"HLGRP000005","Abdomen 3 Posisi"
"HLGRP000006","Abdomen 3 Posisi"
"ILGASP000001","Abdomen 3 Posisi"
"ILGASP000002","Abdomen 3 Posisi"
"ILGASP000003","Abdomen 3 Posisi"
"ILGASP000004","Abdomen 3 Posisi"
"ILGASP000005","Abdomen 3 Posisi"
"ILGASP000006","Abdomen 3 Posisi"
"INTASIA000001","Abdomen 3 Posisi"
"INTASIA000002","Abdomen 3 Posisi"
"INTASIA000003","Abdomen 3 Posisi"
"INTASIA000004","Abdomen 3 Posisi"
"INTASIA000005","Abdomen 3 Posisi"
"INTASIA000006","Abdomen 3 Posisi"
"JBASU000001","Abdomen 3 Posisi"
"JBASU000002","Abdomen 3 Posisi"
"JBASU000003","Abdomen 3 Posisi"
"JBASU000004","Abdomen 3 Posisi"
"JBASU000005","Abdomen 3 Posisi"
"JBASU000006","Abdomen 3 Posisi"
"JBR2400001","Abdomen 3 Posisi"
"JBR2400002","Abdomen 3 Posisi"
"JBR2400003","Abdomen 3 Posisi"
"JBR2400004","Abdomen 3 Posisi"
"JBR2400005","Abdomen 3 Posisi"
"JBR2400006","Abdomen 3 Posisi"
"JBRBPJ00001","Abdomen 3 Posisi"
"JBRBPJ00002","Abdomen 3 Posisi"
"JBRBPJ00003","Abdomen 3 Posisi"
"JBRBPJ00004","Abdomen 3 Posisi"
"JBRBPJ00005","Abdomen 3 Posisi"
"JBRBPJ00006","Abdomen 3 Posisi"
"JIAS000001","Abdomen 3 Posisi"
"JIAS000002","Abdomen 3 Posisi"
"JIAS000003","Abdomen 3 Posisi"
"JIAS000004","Abdomen 3 Posisi"
"JIAS000005","Abdomen 3 Posisi"
"JIAS000006","Abdomen 3 Posisi"
"JMAS000001","Abdomen 3 Posisi"
"JMAS000002","Abdomen 3 Posisi"
"JMAS000003","Abdomen 3 Posisi"
"JMAS000004","Abdomen 3 Posisi"
"JMAS000005","Abdomen 3 Posisi"
"JMAS000006","Abdomen 3 Posisi"
"JNE000001","Abdomen 3 Posisi"
"JNE000002","Abdomen 3 Posisi"
"JNE000003","Abdomen 3 Posisi"
"JNE000004","Abdomen 3 Posisi"
"JNE000005","Abdomen 3 Posisi"
"JNE000006","Abdomen 3 Posisi"
"KCI000001","Abdomen 3 Posisi"
"KCI000002","Abdomen 3 Posisi"
"KCI000003","Abdomen 3 Posisi"
"KCI000004","Abdomen 3 Posisi"
"KCI000005","Abdomen 3 Posisi"
"KCI000006","Abdomen 3 Posisi"
"KOP000001","Abdomen 3 Posisi"
"KOP000002","Abdomen 3 Posisi"
"KOP000003","Abdomen 3 Posisi"
"KOP000004","Abdomen 3 Posisi"
"KOP000005","Abdomen 3 Posisi"
"KOP000006","Abdomen 3 Posisi"
"KYCI00001","Abdomen 3 Posisi"
"KYCI00002","Abdomen 3 Posisi"
"KYCI00003","Abdomen 3 Posisi"
"KYCI00004","Abdomen 3 Posisi"
"KYCI00005","Abdomen 3 Posisi"
"KYCI00006","Abdomen 3 Posisi"
"MAG000001","Abdomen 3 Posisi"
"MAG000002","Abdomen 3 Posisi"
"MAG000003","Abdomen 3 Posisi"
"MAG000004","Abdomen 3 Posisi"
"MAG000005","Abdomen 3 Posisi"
"MAG000006","Abdomen 3 Posisi"
"MALIFE000001","Abdomen 3 Posisi"
"MALIFE000002","Abdomen 3 Posisi"
"MALIFE000003","Abdomen 3 Posisi"
"MALIFE000004","Abdomen 3 Posisi"
"MALIFE000005","Abdomen 3 Posisi"
"MALIFE000006","Abdomen 3 Posisi"
"MEDITAP000001","Abdomen 3 Posisi"
"MEDITAP000002","Abdomen 3 Posisi"
"MEDITAP000003","Abdomen 3 Posisi"
"MEDITAP000004","Abdomen 3 Posisi"
"MEDITAP000005","Abdomen 3 Posisi"
"MEDITAP000006","Abdomen 3 Posisi"
"MEGA000001","Abdomen 3 Posisi"
"MEGA000002","Abdomen 3 Posisi"
"MEGA000003","Abdomen 3 Posisi"
"MEGA000004","Abdomen 3 Posisi"
"MEGA000005","Abdomen 3 Posisi"
"MEGA000006","Abdomen 3 Posisi"
"MEGINS000001","Abdomen 3 Posisi"
"MEGINS000002","Abdomen 3 Posisi"
"MEGINS000003","Abdomen 3 Posisi"
"MEGINS000004","Abdomen 3 Posisi"
"MEGINS000005","Abdomen 3 Posisi"
"MEGINS000006","Abdomen 3 Posisi"
"MITAD000001","Abdomen 3 Posisi"
"MITAD000002","Abdomen 3 Posisi"
"MITAD000003","Abdomen 3 Posisi"
"MITAD000004","Abdomen 3 Posisi"
"MITAD000005","Abdomen 3 Posisi"
"MITAD000006","Abdomen 3 Posisi"
"MITSOTE000001","Abdomen 3 Posisi"
"MITSOTE000002","Abdomen 3 Posisi"
"MITSOTE000003","Abdomen 3 Posisi"
"MITSOTE000004","Abdomen 3 Posisi"
"MITSOTE000005","Abdomen 3 Posisi"
"MITSOTE000006","Abdomen 3 Posisi"
"NUSA000001","Abdomen 3 Posisi"
"NUSA000002","Abdomen 3 Posisi"
"NUSA000003","Abdomen 3 Posisi"
"NUSA000004","Abdomen 3 Posisi"
"NUSA000005","Abdomen 3 Posisi"
"NUSA000006","Abdomen 3 Posisi"
"OWLEXA000001","Abdomen 3 Posisi"
"OWLEXA000002","Abdomen 3 Posisi"
"OWLEXA000003","Abdomen 3 Posisi"
"OWLEXA000004","Abdomen 3 Posisi"
"OWLEXA000005","Abdomen 3 Posisi"
"OWLEXA000006","Abdomen 3 Posisi"
"PANFIC000001","Abdomen 3 Posisi"
"PANFIC000002","Abdomen 3 Posisi"
"PANFIC000003","Abdomen 3 Posisi"
"PANFIC000004","Abdomen 3 Posisi"
"PANFIC000005","Abdomen 3 Posisi"
"PANFIC000006","Abdomen 3 Posisi"
"PCEPYR000001","Abdomen 3 Posisi"
"PCEPYR000002","Abdomen 3 Posisi"
"PCEPYR000003","Abdomen 3 Posisi"
"PCEPYR000004","Abdomen 3 Posisi"
"PCEPYR000005","Abdomen 3 Posisi"
"PCEPYR000006","Abdomen 3 Posisi"
"PCROSS000001","Abdomen 3 Posisi"
"PCROSS000002","Abdomen 3 Posisi"
"PCROSS000003","Abdomen 3 Posisi"
"PCROSS000004","Abdomen 3 Posisi"
"PCROSS000005","Abdomen 3 Posisi"
"PCROSS000006","Abdomen 3 Posisi"
"PELIFE000001","Abdomen 3 Posisi"
"PELIFE000002","Abdomen 3 Posisi"
"PELIFE000003","Abdomen 3 Posisi"
"PELIFE000004","Abdomen 3 Posisi"
"PELIFE000005","Abdomen 3 Posisi"
"PELIFE000006","Abdomen 3 Posisi"
"PLN000001","Abdomen 3 Posisi"
"PLN000002","Abdomen 3 Posisi"
"PLN000003","Abdomen 3 Posisi"
"PLN000004","Abdomen 3 Posisi"
"PLN000005","Abdomen 3 Posisi"
"PLN000006","Abdomen 3 Posisi"
"PRUDEN000001","Abdomen 3 Posisi"
"PRUDEN000002","Abdomen 3 Posisi"
"PRUDEN000003","Abdomen 3 Posisi"
"PRUDEN000004","Abdomen 3 Posisi"
"PRUDEN000005","Abdomen 3 Posisi"
"PRUDEN000006","Abdomen 3 Posisi"
"PUFR000001","Abdomen 3 Posisi"
"PUFR000002","Abdomen 3 Posisi"
"PUFR000003","Abdomen 3 Posisi"
"PUFR000004","Abdomen 3 Posisi"
"PUFR000005","Abdomen 3 Posisi"
"PUFR000006","Abdomen 3 Posisi"
"SEQLIFE000001","Abdomen 3 Posisi"
"SEQLIFE000002","Abdomen 3 Posisi"
"SEQLIFE000003","Abdomen 3 Posisi"
"SEQLIFE000004","Abdomen 3 Posisi"
"SEQLIFE000005","Abdomen 3 Posisi"
"SEQLIFE000006","Abdomen 3 Posisi"
"SIMAS000001","Abdomen 3 Posisi"
"SIMAS000002","Abdomen 3 Posisi"
"SIMAS000003","Abdomen 3 Posisi"
"SIMAS000004","Abdomen 3 Posisi"
"SIMAS000005","Abdomen 3 Posisi"
"SIMAS000006","Abdomen 3 Posisi"
"SLYNK000001","Abdomen 3 Posisi"
"SLYNK000002","Abdomen 3 Posisi"
"SLYNK000003","Abdomen 3 Posisi"
"SLYNK000004","Abdomen 3 Posisi"
"SLYNK000005","Abdomen 3 Posisi"
"SLYNK000006","Abdomen 3 Posisi"
"SOMPO000001","Abdomen 3 Posisi"
"SOMPO000002","Abdomen 3 Posisi"
"SOMPO000003","Abdomen 3 Posisi"
"SOMPO000004","Abdomen 3 Posisi"
"SOMPO000005","Abdomen 3 Posisi"
"SOMPO000006","Abdomen 3 Posisi"
"SUMDAS000001","Abdomen 3 Posisi"
"SUMDAS000002","Abdomen 3 Posisi"
"SUMDAS000003","Abdomen 3 Posisi"
"SUMDAS000004","Abdomen 3 Posisi"
"SUMDAS000005","Abdomen 3 Posisi"
"SUMDAS000006","Abdomen 3 Posisi"
"SUNDAY000001","Abdomen 3 Posisi"
"SUNDAY000002","Abdomen 3 Posisi"
"SUNDAY000003","Abdomen 3 Posisi"
"SUNDAY000004","Abdomen 3 Posisi"
"SUNDAY000005","Abdomen 3 Posisi"
"SUNDAY000006","Abdomen 3 Posisi"
"SUNPDSA000001","Abdomen 3 Posisi"
"SUNPDSA000002","Abdomen 3 Posisi"
"SUNPDSA000003","Abdomen 3 Posisi"
"SUNPDSA000004","Abdomen 3 Posisi"
"SUNPDSA000005","Abdomen 3 Posisi"
"SUNPDSA000006","Abdomen 3 Posisi"
"SWPIA000001","Abdomen 3 Posisi"
"SWPIA000002","Abdomen 3 Posisi"
"SWPIA000003","Abdomen 3 Posisi"
"SWPIA000004","Abdomen 3 Posisi"
"SWPIA000005","Abdomen 3 Posisi"
"SWPIA000006","Abdomen 3 Posisi"
"TAKAFUL000001","Abdomen 3 Posisi"
"TAKAFUL000002","Abdomen 3 Posisi"
"TAKAFUL000003","Abdomen 3 Posisi"
"TAKAFUL000004","Abdomen 3 Posisi"
"TAKAFUL000005","Abdomen 3 Posisi"
"TAKAFUL000006","Abdomen 3 Posisi"
"TEMED000001","Abdomen 3 Posisi"
"TEMED000002","Abdomen 3 Posisi"
"TEMED000003","Abdomen 3 Posisi"
"TEMED000004","Abdomen 3 Posisi"
"TEMED000005","Abdomen 3 Posisi"
"TEMED000006","Abdomen 3 Posisi"
"TIMEDC000001","Abdomen 3 Posisi"
"TIMEDC000002","Abdomen 3 Posisi"
"TIMEDC000003","Abdomen 3 Posisi"
"TIMEDC000004","Abdomen 3 Posisi"
"TIMEDC000005","Abdomen 3 Posisi"
"TIMEDC000006","Abdomen 3 Posisi"
"TOMAR000001","Abdomen 3 Posisi"
"TOMAR000002","Abdomen 3 Posisi"
"TOMAR000003","Abdomen 3 Posisi"
"TOMAR000004","Abdomen 3 Posisi"
"TOMAR000005","Abdomen 3 Posisi"
"TOMAR000006","Abdomen 3 Posisi"
"TRAUT000001","Abdomen 3 Posisi"
"TRAUT000002","Abdomen 3 Posisi"
"TRAUT000003","Abdomen 3 Posisi"
"TRAUT000004","Abdomen 3 Posisi"
"TRAUT000005","Abdomen 3 Posisi"
"TRAUT000006","Abdomen 3 Posisi"
"YAKES000001","Abdomen 3 Posisi"
"YAKES000002","Abdomen 3 Posisi"
"YAKES000003","Abdomen 3 Posisi"
"YAKES000004","Abdomen 3 Posisi"
"YAKES000005","Abdomen 3 Posisi"
"YAKES000006","Abdomen 3 Posisi"
"ZURAD000001","Abdomen 3 Posisi"
"ZURAD000002","Abdomen 3 Posisi"
"ZURAD000003","Abdomen 3 Posisi"
"ZURAD000004","Abdomen 3 Posisi"
"ZURAD000005","Abdomen 3 Posisi"
"ZURAD000006","Abdomen 3 Posisi"
"ZURME000001","Abdomen 3 Posisi"
"ZURME000002","Abdomen 3 Posisi"
"ZURME000003","Abdomen 3 Posisi"
"ZURME000004","Abdomen 3 Posisi"
"ZURME000005","Abdomen 3 Posisi"
"ZURME000006","Abdomen 3 Posisi"
"AAA000007","Ankle Joint"
"AAA000008","Ankle Joint"
"AAA000009","Ankle Joint"
"AAA000010","Ankle Joint"
"AAA000011","Ankle Joint"
"AAA000012","Ankle Joint"
"ABDA000007","Ankle Joint"
"ABDA000008","Ankle Joint"
"ABDA000009","Ankle Joint"
"ABDA000010","Ankle Joint"
"ABDA000011","Ankle Joint"
"ABDA000012","Ankle Joint"
"ACADM000007","Ankle Joint"
"ACADM000008","Ankle Joint"
"ACADM000009","Ankle Joint"
"ACADM000010","Ankle Joint"
"ACADM000011","Ankle Joint"
"ACADM000012","Ankle Joint"
"ACPHLT000007","Ankle Joint"
"ACPHLT000008","Ankle Joint"
"ACPHLT000009","Ankle Joint"
"ACPHLT000010","Ankle Joint"
"ACPHLT000011","Ankle Joint"
"ACPHLT000012","Ankle Joint"
"ACPRM000007","Ankle Joint"
"ACPRM000008","Ankle Joint"
"ACPRM000009","Ankle Joint"
"ACPRM000010","Ankle Joint"
"ACPRM000011","Ankle Joint"
"ACPRM000012","Ankle Joint"
"ADIRA000007","Ankle Joint"
"ADIRA000008","Ankle Joint"
"ADIRA000009","Ankle Joint"
"ADIRA000010","Ankle Joint"
"ADIRA000011","Ankle Joint"
"ADIRA000012","Ankle Joint"
"ADM000007","Ankle Joint"
"ADM000008","Ankle Joint"
"ADM000009","Ankle Joint"
"ADM000010","Ankle Joint"
"ADM000011","Ankle Joint"
"ADM000012","Ankle Joint"
"AIA000007","Ankle Joint"
"AIA000008","Ankle Joint"
"AIA000009","Ankle Joint"
"AIA000010","Ankle Joint"
"AIA000011","Ankle Joint"
"AIA000012","Ankle Joint"
"ALLI000007","Ankle Joint"
"ALLI000008","Ankle Joint"
"ALLI000009","Ankle Joint"
"ALLI000010","Ankle Joint"
"ALLI000011","Ankle Joint"
"ALLI000012","Ankle Joint"
"ANGPUR000007","Ankle Joint"
"ANGPUR000008","Ankle Joint"
"ANGPUR000009","Ankle Joint"
"ANGPUR000010","Ankle Joint"
"ANGPUR000011","Ankle Joint"
"ANGPUR000012","Ankle Joint"
"ANUMAP000007","Ankle Joint"
"ANUMAP000008","Ankle Joint"
"ANUMAP000009","Ankle Joint"
"ANUMAP000010","Ankle Joint"
"ANUMAP000011","Ankle Joint"
"ANUMAP000012","Ankle Joint"
"ASIAS000007","Ankle Joint"
"ASIAS000008","Ankle Joint"
"ASIAS000009","Ankle Joint"
"ASIAS000010","Ankle Joint"
"ASIAS000011","Ankle Joint"
"ASIAS000012","Ankle Joint"
"ASKRI000007","Ankle Joint"
"ASKRI000008","Ankle Joint"
"ASKRI000009","Ankle Joint"
"ASKRI000010","Ankle Joint"
"ASKRI000011","Ankle Joint"
"ASKRI000012","Ankle Joint"
"ASTBUA000007","Ankle Joint"
"ASTBUA000008","Ankle Joint"
"ASTBUA000009","Ankle Joint"
"ASTBUA000010","Ankle Joint"
"ASTBUA000011","Ankle Joint"
"ASTBUA000012","Ankle Joint"
"ASTVIV000007","Ankle Joint"
"ASTVIV000008","Ankle Joint"
"ASTVIV000009","Ankle Joint"
"ASTVIV000010","Ankle Joint"
"ASTVIV000011","Ankle Joint"
"ASTVIV000012","Ankle Joint"
"AVRIST000007","Ankle Joint"
"AVRIST000008","Ankle Joint"
"AVRIST000009","Ankle Joint"
"AVRIST000010","Ankle Joint"
"AVRIST000011","Ankle Joint"
"AVRIST000012","Ankle Joint"
"AXMAN000007","Ankle Joint"
"AXMAN000008","Ankle Joint"
"AXMAN000009","Ankle Joint"
"AXMAN000010","Ankle Joint"
"AXMAN000011","Ankle Joint"
"AXMAN000012","Ankle Joint"
"AXRAL000007","Ankle Joint"
"AXRAL000008","Ankle Joint"
"AXRAL000009","Ankle Joint"
"AXRAL000010","Ankle Joint"
"AXRAL000011","Ankle Joint"
"AXRAL000012","Ankle Joint"
"BCA000007","Ankle Joint"
"BCA000008","Ankle Joint"
"BCA000009","Ankle Joint"
"BCA000010","Ankle Joint"
"BCA000011","Ankle Joint"
"BCA000012","Ankle Joint"
"BLI000007","Ankle Joint"
"BLI000008","Ankle Joint"
"BLI000009","Ankle Joint"
"BLI000010","Ankle Joint"
"BLI000011","Ankle Joint"
"BLI000012","Ankle Joint"
"BNLI000007","Ankle Joint"
"BNLI000008","Ankle Joint"
"BNLI000009","Ankle Joint"
"BNLI000010","Ankle Joint"
"BNLI000011","Ankle Joint"
"BNLI000012","Ankle Joint"
"BOSAD000007","Ankle Joint"
"BOSAD000008","Ankle Joint"
"BOSAD000009","Ankle Joint"
"BOSAD000010","Ankle Joint"
"BOSAD000011","Ankle Joint"
"BOSAD000012","Ankle Joint"
"BRLII000007","Ankle Joint"
"BRLII000008","Ankle Joint"
"BRLII000009","Ankle Joint"
"BRLII000010","Ankle Joint"
"BRLII000011","Ankle Joint"
"BRLII000012","Ankle Joint"
"BUMDA000007","Ankle Joint"
"BUMDA000008","Ankle Joint"
"BUMDA000009","Ankle Joint"
"BUMDA000010","Ankle Joint"
"BUMDA000011","Ankle Joint"
"BUMDA000012","Ankle Joint"
"CADM000007","Ankle Joint"
"CADM000008","Ankle Joint"
"CADM000009","Ankle Joint"
"CADM000010","Ankle Joint"
"CADM000011","Ankle Joint"
"CADM000012","Ankle Joint"
"CAR000007","Ankle Joint"
